country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
Slovakia,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-04,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-05,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,-1.4350736,-1.4350736,-16.699951,-3.0604594,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-06,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-07,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-08,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.618556,-3.0261307,-70.3999,-12.901598,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.868041,-5.36063,-189.29993,-34.691402,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
Slovakia,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,SVK,Europe,5473195.0,113.83516693115234,40.90399932861328,77.03559875488281,33176.18359375,0.4521372616291046,5.800000190734863,,5.699999809265137,
